ID,Display Name,Listed,Do Not List,Industry Avg,BEAM Avg,EPD Expiry,Footnote,Material,Manufacturer,Product Brand Name,Specifications,Notes,Countries of Manufacture,Markets of Applicability,Data added or modified,Stated EPD kgCO2e / unit,GWP units kgCO2e per,GWP kgCO2e/(common unit),Common Unit: kgCO2e / _,Metric Units,Imperial Units,GWP-bio from EPD kg CO2e/common unit,Biogenic carbon factor,% Carbon content (kgC/kg),Biogenic Storage kgCO2e/(common unit),Common Unit: kgCO2e / _,WWF Storage Factor kgCO2e/kgC,Carbon content kgC/unit,Units: kgC / _,Biogenic CO2 kg - full C value,Storage % Reduction,Density,Density Units,Addn'l factors,Addn'l factor units,R-value / inch,"k, Thermal Conductivity
W/(mK)",Moisture content %,Mass (kg),Length (m) ,Width (m) ,Depth (m) ,Unit Volume (m3),Units/m2,Material Type,Material Subtype,Product Type,Product Subtype,CSI MasterFormat,EPD ID,EPD Type,EPD Owner,EPD/LCA Prepared by,EPD Program / Operator,Internal/External Validation,EPD Verifying Agent,EPD Standards,EPD PCR Guidelines,LCA Method,EPD LCA Software,EPD LCI Database,Product Service Life (Years),Source document URL,
bbb010,"Ext. Wall & Roof Barrier, sheet / Partel / Exoperm Mono 150 / Permeable / EU",TRUE,FALSE,FALSE,FALSE,2027,,Sheet barrier,Partel,Exoperm Mono 150,,,EU,EU,2024-01-28,0.5,m²,0.54,m²,m²,ft²,,,,,,,,,,,150,g/m2,,,,,,,,,,,,Barrier,Sheet barrier,Barrier,Sheet barrier,,EPDIE-22-84,Product-specific,Partel,Ecoreview,Irish Green Building Council,External,"Chris Foster, EuGeos SRL",EN 15804:2012+A2:2019,EN 15804:2012+A2:2020,,Echochain 3.5.13,Ecoinvent3.6,,,
bbb011,"Ext. Wall barrier, adhesive / GCP / Perm-a-Barrier / Non-permeable, 1 mm",TRUE,FALSE,FALSE,FALSE,2027,,Adhesive barrier,GCP,Perm-a-Barrier,1 mm,,US,US & CA,2024-01-27,1.94,m²,1.94,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,,,Wall Membrane,Adhesive,,EPD10787,Product-specific,GCP,WAP Sustainability,NSF,External,"Tony Favilla, NSF",,ASTM International Water-Resistive and Air Barriers,ASTM International Water-Resistive and Air Barriers,ASTM International Water-Resistive and Air Barriers,ASTM International Water-Resistive and Air Barriers,,,
bbb012,"Ext. Wall Barrier, adhesive / Soprema / SOPRASEAL STICK 1100 T / Non-permeable / 1.0 mm",TRUE,FALSE,FALSE,FALSE,2028,,Adhesive barrier,Soprema,Sopraseal Stick 1100 T,,,CA,US & CA,2024-01-28,1.9,m²,1.93,m²,m²,ft²,,,,,,,,,,,0.975,kg/m2,,,,,,,,,,,,Barrier,Adhesive,Barrier,Adhesive,,EPD 509,Product-specific,Soprema Inc.,Vertima Inc.,ASTM,External,"Lindita Bush, Athena Sustainble Materials Institute",ISO 21930:2017,ASTM PCR Water-resistive and air barriers,TRACI 2.1,OpenLCA v1.11.0,Ecoinvent 3.9.1,,,
bbb013,"Ext. Wall Barrier, adhesive / Soprema / SOPRASEAL STICK VP / 11-17 Perms / 0.6 mm",TRUE,FALSE,FALSE,FALSE,2028,,Adhesive barrier,Soprema,Sopraseal Stick VP,,,CA,US & CA,2024-01-28,1.2,m²,1.17,m²,m²,ft²,,,,,,,,,,,0.346,kg/m2,,,,,,,,,,,,Barrier,Adhesive,Barrier,Adhesive,,EPD 512,Product-specific,Soprema Inc.,Vertima Inc.,ASTM,External,"Lindita Bush, Athena Sustainble Materials Institute",ISO 21930:2017,ASTM PCR Water-resistive and air barriers,TRACI 2.1,OpenLCA v1.11.0,Ecoinvent 3.9.1,,,
bbb014,"Ext. Wall Barrier, adhesive / Soprema / SOPRASOLIN HD (aluminum foil) / Non-permeable / 1.0 mm",TRUE,FALSE,FALSE,FALSE,2028,,Adhesive barrier,Soprema,Soprasolin HD,,,CA,US & CA,2024-01-28,1.9,m²,1.92,m²,m²,ft²,,,,,,,,,,,1.025,kg/m2,,,,,,,,,,,,Barrier,Adhesive,Barrier,Adhesive,,EPD 509,Product-specific,Soprema Inc.,Vertima Inc.,ASTM,External,"Lindita Bush, Athena Sustainble Materials Institute",ISO 21930:2017,ASTM PCR Water-resistive and air barriers,TRACI 2.1,OpenLCA v1.11.0,Ecoinvent 3.9.1,,,
bbb015,"Ext. Wall Barrier, adhesive / Soprema / SOPRAVAP'R / Non-permeable / 0.8 mm",TRUE,FALSE,FALSE,FALSE,2028,,Adhesive barrier,Soprema,SOPRAVAP'R,,,CA,US & CA,2024-01-28,1.5,m²,1.52,m²,m²,ft²,,,,,,,,,,,0.763,kg/m2,,,,,,,,,,,,Barrier,Adhesive,Barrier,Adhesive,,EPD 509,Product-specific,Soprema Inc.,Vertima Inc.,ASTM,External,"Lindita Bush, Athena Sustainble Materials Institute",ISO 21930:2017,ASTM PCR Water-resistive and air barriers,TRACI 2.1,OpenLCA v1.11.0,Ecoinvent 3.9.1,,,
bbb016,"Ext. Wall barrier, liquid applied / GCP / Perm-a-Barrier NPL 10 (fire-resistant) / Non-permeable, 1 mm",TRUE,FALSE,FALSE,FALSE,2027-09-26,,Liquid applied barrier,GCP,Perm-a-Barrier NPL 10,1 mm,,US,US & CA,2024-01-27,4.8,m²,4.80,m²,m²,ft²,,,,,,,,,,,1.4,g/cm3,,,,,,,,,0.001,,,,,Wall Membrane,Liquid applied,,EPD10786,Product-specific,GCP,,NSF,External,Jack Geibig - EcoForm,,ASTM International Water-Resistive and Air Barriers,TRACI 2.1,GaBi 10,GaBi 2021.2 ,NA,,
bbb017,"Ext. Wall barrier, liquid applied / GCP / Perm-a-Barrier VPL / 20 Perms, 0.64 mm",TRUE,FALSE,FALSE,FALSE,2027-09-26,,Liquid applied barrier,GCP,Perm-a-Barrier VPL ,0.64 mm,,US,US & CA,2024-01-27,4.01,m²,4.01,m²,m²,ft²,,,,,,,,,,,1.4,g/cm3,,,,,,,,,0.001,,,,,Wall Membrane,Liquid applied,,EPD10786,Product-specific,GCP,,NSF,External,Jack Geibig - EcoForm,,ASTM International Water-Resistive and Air Barriers,TRACI 2.1,GaBi 10,GaBi 2021.2 ,NA,,
bbb018,"Ext. Wall barrier, liquid applied / GCP / Perm-a-Barrier VPL 50RS UV stable / 13 Perms, 0.51 mm",TRUE,FALSE,FALSE,FALSE,2027-09-26,,Liquid applied barrier,GCP,Perm-a-Barrier VPL 50 RS,0.51 mm,,US,US & CA,2024-01-27,1.53,m²,1.53,m²,m²,ft²,,,,,,,,,,,1.4,g/cm3,,,,,,,,,0.001,,,,,Wall Membrane,Liquid applied,,EPD10786,Product-specific,GCP,,NSF,External,Jack Geibig - EcoForm,,ASTM International Water-Resistive and Air Barriers,TRACI 2.1,GaBi 10,GaBi 2021.2 ,NA,,
bbb019,"Ext. Wall barrier, sheet / GCP / Perm-a-Barrier NPS / Non-permeable, 0.46 mm",TRUE,FALSE,FALSE,FALSE,2027-09-26,,Sheet barrier,GCP,Perm-a-Barrier NPS,1 mm,,US,US & CA,2024-01-27,1.12,m²,1.12,m²,m²,ft²,,,,,,,,,,,1.4,g/cm3,,,,,,,,,0.001,,,,,Wall Membrane,Sheet,,EPD10786,Product-specific,GCP,,NSF,External,Jack Geibig - EcoForm,,ASTM International Water-Resistive and Air Barriers,ASTM International Water-Resistive and Air Barriers,ASTM International Water-Resistive and Air Barriers,ASTM International Water-Resistive and Air Barriers,NA,,
