"Display Name ACQ wood treatment Synthetic Stucco (Acrylic) [BEAM Avg | US & CA]","EPD Number / Document ID ","EPD ID Bolin & Smith, 2011, LCA Assessment of ACQ-treated lumber, Journal of Cleaner Production ","EPD Owner ","Material ACQ wood treatment Acrylic Stucco Textured Finish","Manufacturer / Organization Sto Corp.","Product Name / Description ","Specifications ","EPD Expiry "
"Dowel Laminated Timber / StructureCraft / DowelLam / 3-1/2""","","EPD157 ","StructureCraft Builder Inc","Dowel Laminated Timber","StructureCraft","DowelLam","3-1/2""","2025"
"Drywall 1/2"" [BEAM Avg | US & CA]","","","","Drywall 1/2""","CertainTeed, Pabco","bc703d","1/2"" (12.7 mm)",""
"Drywall 1/2"" / Pabco / QuietRock / QuietRock 1/2""","","EPD-156","","Drywall 1/2""","Pabco","QuietRock","QuietRock 1/2""","2025"
"Drywall 1/2"" / National Gypsum / Gold Bond XP Gypsum Board / 1/2""","","EPD10792","National Gypsum","Drywall 1/2""","National Gypsum","Gold Bond XP Gypsum Board ","1/2"" (12.7 mm)","2027-10-21"
"Drywall 1/2"" / USG / Sheetrock Brand UltraLight Sag-Resistant Ceilling Board ","","EPD215","USG Corporation","Drywall 1/2""","USG - CGC","1/2 in. (12.7 mm) Sheetrock® Brand UltraLight
Sag-Resistant Interior Ceiling Board","1/2""","2026-06-04"
"Drywall 1/2"" / USG / Sheetrock Ultralight Panels ","","EPD211","USG Corporation","Drywall 1/2""","USG - CGC","Drywall 1/2 Sheetrock Ultralight panels ","1/2""","2026-06-04"
"Drywall 1/2""/ Georgia-Pacific / ToughRock Mold-Guard / ","","EPD10360","Georgia-Pacific","Drywall 1/2""","Georgia-Pacific","ToughRock Mold-Guard","1/2"" (12.7 mm)","2025-05-21"
"Drywall 1/2"" Type C / Georgia-Pacific / ToughRock Fireguard C / ","","EPD10310","","Drywall 1/2"" Type C","Georgia-Pacific","ToughRock Fireguard C","Type C","2024"
"Drywall 5/8"" Type X / Gypsum Association [Industry Avg | US & CA]","","EPD 10270","","Drywall 5/8"" Type X","Gypsum Association","Industry Average","Type X","2025-04-27"
"Drywall 5/8"" / Georgia-Pacific / ToughRock Fireguard C/ ","","EPD10312","Georgia-Pacific Gypsum LLC","Drywall 5/8""","Georgia-Pacific ","5/8"" ToughRock® Fireguard C® Gypsum Panel
5/8” Type C (Generic name)","5/8'' type X","2024-12-19"
"Drywall 5/8"" / National Gypsum / Gold Bond XP Fire-Shield Gypsum Board / 5/8"" type X","","EPD10792","National Gypsum","Drywall 5/8""","National Gypsum","Gold Bond XP Fire-Shield Gypsum Board ","5/8'' type X","2027-10-21"
"Drywall 5/8"" / USG / Sheetrock Brand EcoSmart Firecode X / 5/8""","","EPD 216","USG Corporation","Drywall 5/8"" Type X","USG","5/8 in. (15.9 mm) Sheetrock ® Brand EcoSmart Panels Firecode® X","5/8'' type X","2026-04-06"
"Engineered Wood Siding [BEAM Avg | US & CA]","","","","Engineered Wood Siding","LP","","",""
"Engineered Wood Siding & Trim / LP / SmartSide / 0.354"" (9 mm)","","EPD 597","LP","Engineered Wood Siding & Trim","LP","SmartSide","0.354"" (9 mm)","2028-11-21"
"Engineered Wood Siding & Trim / LP / SmartSide / 0.418"" (10.6 mm)","","EPD 597","LP","Engineered Wood Siding & Trim","LP","SmartSide","0.418"" (10.6 mm)","2028-11-21"
"Engineered Wood Siding & Trim / LP / SmartSide / 0.578"" (14.7mm)","","EPD 597","LP","Engineered Wood Siding & Trim","LP","SmartSide","0.578"" (14.7mm)","2028-11-21"
"Engineered Wood Siding & Trim / LP / BuilderSeries® Lap Siding / 9/32"" (7.3 mm)","","EPD 617","LP","Engineered Wood Siding & Trim","LP","BuilderSeries® Lap Siding","9/32"" (7.3 mm)","2028-12-20"
"Engineered Wood Siding & Trim / LP / SmartSide ExpertFinish/ 3/8"" (9.5 mm)","","EPD 601","LP","Engineered Wood Siding & Trim","LP","SmartSide ExpertFinish","3/8"" (9.5 mm)","2028-11-21"
"EPDM Roofing Membrane / Non-reinforced single ply / SPRI  [Industry Avg | US]","","4786842353.103.1 ","Single Ply Roofing Industry (SPRI)","EPDM Roofing Membrane","Mfrs included: Carlisle SynTec Systems, Firestone Building Products, Johns Manville","","","2022"
"EPS foam board / Type I / R 3.6-inch, 10 psi / EPS Industry Alliance [Industry Avg | US & CA]","","4790678084.101.1","EPS Industry Alliance","EPS foam board","EPS Industry Alliance","Includes: Atlas Molded Products, Beaver Plastics, Insulfoam, Insulation Technology, Groupe Isolofoam, Le Groupe Legerlite, Plasti-Fab EPS, Polar Industries, Progressive Foam Technologies, Thermal Foams","R 3.6/inch, Type I, 10 psi (70 kPa)","2028"
"EPS foam board / Type II / R 4.0-inch, 15 psi / EPS Industry Alliance [Industry Avg | US & CA]","","4790678084.101.1","EPS Industry Alliance","EPS foam board","EPS Industry Alliance","Includes: Atlas Molded Products, Beaver Plastics, Insulfoam, Insulation Technology, Groupe Isolofoam, Le Groupe Legerlite, Plasti-Fab EPS, Polar Industries, Progressive Foam Technologies, Thermal Foams","R 4.0/inch, Type II, 15 psi (100 kPa)","2028"
"EPS foam board / Type IX / R 4.2-inch, 25 psi / EPS Industry Alliance [Industry Avg | US & CA]","","4790678084.101.1","EPS Industry Alliance","EPS foam board","EPS Industry Alliance","Includes: Atlas Molded Products, Beaver Plastics, Insulfoam, Insulation Technology, Groupe Isolofoam, Le Groupe Legerlite, Plasti-Fab EPS, Polar Industries, Progressive Foam Technologies, Thermal Foams","R 4.2/inch, Type IX, 25 psi (170 kPa)","2028"
"EPS foam board / Type XV / R 4.3-inch, 60 psi / EPS Industry Alliance [Industry Avg | US & CA]","","4790678084.101.1","EPS Industry Alliance","EPS foam board","EPS Industry Alliance","Includes: Atlas Molded Products, Beaver Plastics, Insulfoam, Insulation Technology, Groupe Isolofoam, Le Groupe Legerlite, Plasti-Fab EPS, Polar Industries, Progressive Foam Technologies, Thermal Foams","R 4.3/inch, Type XV, 60 psi (400 kPa)","2028"
"EPS foam board with graphite / BASF  / Neopor F 5200 Plus / R 4.7-inch, Type IX, 25 psi","","EPD10841","BASF Corporation","EPS foam board with graphite","BASF ","Neopor F 5200 Plus","R 4.7-inch, Type IX, 25 psi","2028"
"EPS foam board with graphite / BASF / Neopor F 5200 Plus / R 4.7-inch, Type II, 15 psi (Type 2, 110 kPa)","","EPD10841","BASF Corporation","EPS foam board with graphite","BASF","Neopor F 5200 Plus","R 4.7/inch, Type II, 15 psi (Type 2, 110 kPa)","2028"
"EPS foam board with graphite / BASF / Neopor F 5200 & F 5300 Plus BMB / R 4.7-inch, Type IX, 25 psi (Type 9, 175 kPa)","","EPD10842","BASF Corporation","EPS foam board with graphite","BASF ","Neopor® Plus BMB  Atlas Molded Products, Beaver Plastic, Insulfoam, Polar Central, Progressive Foam, Plastifab ","R 4.7/inch, Type IX, 25 psi (Type 9, 175 kPa)","2028-06-01"
"EPS foam board with graphite / BASF / Neopor F 5200 & F 5300 Plus BMB  / R 4.7-inch, Type II, 15 psi (Type 2, 110 kPa)","","EPD10842","BASF Corporation","EPS foam board with graphite","BASF ","Neopor® Plus BMB  Atlas Molded Products, Beaver Plastic, Insulfoam, Polar Central, Progressive Foam, Plastifab ","R 4.7/inch, Type II, 15 psi (Type 2, 110 kPa)","2028-06-01"
"EPS FOAM ICF R-23, 2 Sheets of 2.75""@R4-in., includes webbing & 15M rebar (not incl. 6"" concrete core)","","","","ICF - EPS foam, webbing, rebar, no concrete fill","","","Combination of: e5a3bb (webbing), d28e1e (EPS), 394e07 (rebar)",""
"Fiber Cement roofing / Cembrit / Corrugated sheets / 6.5 mm / [EU]","","EPD-CEM-20160114-IAD1-EN ","","Fiber Cement roofing","Cembrit","Corrugated sheets","6.5 mm","2021"
"Fiber Cement roofing / Cembrit / Slates / 4 mm / [EU]","","EPD-CEM-20160113-IAD1-EN ","","Fiber Cement roofing","Cembrit","Slates","4 mm","2021"
"Fiber Cement siding [BEAM Avg]","","","","Fiber Cement siding","Equitone, James Hardie","","7.85mm",""
"Fiber Cement siding / Equitone / Linea|Lunara sheets / 10 mm [EU]","","EPD-ETE-20190128-CCA1-EN","ETEX","Fiber Cement siding","Equitone","Linea|Lunara","10 mm","2025"
"Fiber Cement siding / Equitone / Pictura, Natura Pro, sheets / 8 mm [EU]","","EPD-ETE-20190179-CCC1-EN","Equitone","Fiber Cement siding","Equitone","Pictura and Natura Pro","8 mm (5/16"")","2025-02-05"
"Fiber Cement siding / JamesHardie / Hardie Plank HZ10, Hardie Panel HZ10, Hardie Architectural Panel HZ10 / 8 mm","","S-P-05037","James Hardie","Fiber Cement siding","James Hardie","Fiber Cement Siding Hardie Plank HZ10, HArdie Panel HZ10, Hardie Architectural Panel HZ10","7.85mm","2027-12-01"
"Fiber Cement siding / JamesHardie / Hardie Plank HZ5, Hardie Panel HZ5, Hardie Architectural Panel HZ5 / 8 mm","","S-P-05037","James Hardie","Fiber Cement siding","James Hardie","Fiber Cement Siding Hardie Plank HZ5, Hardie Panel HZ5, Hardie Architectural Panel HZ5","7.85mm","2027-12-01"
"Fiber Cement siding / JamesHardie / Hardie Shingle HZ10 /  6.3 mm","","S-P-05037","James Hardie","Fiber Cement siding","James Hardie","Fiber Cement Siding Hardie Shingle HZ10","6.3mm","2027-12-01"
"Fiber Cement siding / JamesHardie / Hardie Shingle HZ5 / 6.3 mm","","S-P-05037","James Hardie","Fiber Cement siding","James Hardie","Fiber Cement Siding Hardie Shingle HZ5","6.3mm","2027-12-01"
"Fiberglass batt / NAIMA /  R 4.4-inch [Industry Avg | N.America]","","SmartEPD-2023-003-0010-01","NAIMA","Fiberglass batt","NAIMA ","Includes : CertainTeed, Inc. Saint-Gobin, Johns Manville, Knauf Insulation North America, Owens Corning","R 4.4/inch","2028-07-14"
"Fiberglass batt / Johns Manville / Unfaced, ComfortTherm, Cavity-SHIELD, FSK-25 / R 3.4-inch","","47899773160.101.1","Johns Manville","Fiberglass batt","Johns Manville","Unfaced, ComfortTherm, Cavity-SHIELD, FSK-25","R 3.4/inch","2027"
"Fiberglass batt & roll / Owens Corning / Unfaced, PINK Next Gen Fiberglas / R 3.6-inch avg.","","SCS-EPD-09348","Owens Corning","Fiberglass batt","Owens Corning","PINK Next Gen Fiberglas","R 3.6/inch","2028"
"Fiberglass batt / CertainTeed / Sustainable Insulation / R 3.6-inch","","4788647002.101.1 ","","Fiberglass batt","CertainTeed","Sustainable Insulation","R 3.6/inch","2024"
"Fiberglass loose fill / NAIMA /  R 2.2-inch [Industry Avg | N.America]","","SmartEPD-2023-003-0010-01","NAIMA","Fiberglass loose fill","NAIMA ","Includes : CertainTeed, Inc. Saint-Gobin, Johns Manville, Knauf Insulation North America, Owens Corning","R 2.2/inch","2028-07-14"
"Fiberglass loose fill / Johns Manville / Climate Pro, Attic Protector, JM Spider PLUS (Canada) / R 2.8-inch","","4789973160.110.1","Johns Manville","Fiberglass loose fill","Johns Manville","Climate Pro, Attic Protector, JM Spider PLUS (Canada)","R 2.8/inch, Formaldehyde-free","2028-10-01"
"Fiberglass loose fill / CertainTeed / InsulSafe, Optima, TruComfort / R 2.6-inch","","4788647002.102.1 ","","Fiberglass loose fill","CertainTeed","InsulSafe, Optima, TruComfort","R 2.6/inch","2024"
"Fiberglass loose fill / Owens Corning / AttiCat, ProCat, ProPink / R 3.28-inch","","SCS-EPD-09349","Owens Corning","Fiberglass loose fill","Owens Corning","AttiCat, ProCat, ProPink","R 3.28/inch","2028-08-31"
"Fiberglass board / NAIMA / R-3.2-inch  [Industry Avg | N.America]","","SmartEPD-2023-003-0012-01","NAIMA","Fiberglass board","NAIMA","Johns Manville, Knauf, Owens Corning, CertainTeed","57.62 kg/m3","2028"
"Light expanded clay aggregate (LECA) / Leca Int'l / Leca Arlita 10-20 / R 1.3-inch, 10-20 mm [EU]","","NEPD-2540-1277-EN","Leca International","Light expanded clay aggregate (LECA)","Leca International","Leca Arlita 10-20","R 1.3/inch, 10-20 mm","2025"
"Light expanded clay aggregate (LECA) / Leca Int'l / Leca ISO 10-20 / R 1.35-inch, 10-20 mm [EU]","","NEPD-1742-715-EN","Leca International","Light expanded clay aggregate (LECA)","Leca International","Leca ISO 10-20","R 1.35/inch, 10-20 mm","2025"
"Light expanded clay aggregate (LECA) / Leca Int'l / Leca-sora 4-32 / R 1.2-inch, 4-32 mm [EU]","","NEPD-2304-1052-EN","Leca International","Light expanded clay aggregate (LECA)","Leca International","Leca-sora 4-32","R 1.2/inch, 4-32 mm","2025"
"Foam glass aggregate / Glasopor AS / R 1.7-inch, 10-60 mm [EU]","","NEPD-1243-396-EN","","Foam glass aggregate","Glasopor AS","","R 1.7/inch, 10-60 mm","2022"
"Foam glass aggregate / Hasopor / R 1.7-inch, 10-60 mm [EU]","","S-P-01088 ","","Foam glass aggregate","Hasopor","","R 1.7/inch, 10-60 mm","2022"
"Foam glass board / R 3.4-inch [BEAM Avg] ","","EPD-PCE-20200301-IBA1-EN, EPD-PCE-20200302-IBA1-EN, EPD-PCE-20200300-IBB1-EN, EPD-PCE-20200299-IBB1-EN","","Foam glass board","Pittsburgh Corning Europe","FOAMGLAS","[Product Avg] / R 3.4/inch","2026"
"Foam glass board / Pittsburgh Corning Europe / FOAMGLAS F / R 2.9-inch / [EU]","","EPD-PCE-20200301-IBA1-EN","","Foam glass board","Pittsburgh Corning Europe","FOAMGLAS F","R 2.9/inch","2026"
"Foam glass board / Pittsburgh Corning Europe / FOAMGLAS S3 / R 3.2-inch / [EU]","","EPD-PCE-20200302-IBA1-EN","","Foam glass board","Pittsburgh Corning Europe","FOAMGLAS S3","R 3.2/inch","2026"
"Foam glass board / Pittsburgh Corning Europe / FOAMGLAS T3+ / R 4.0-inch / [EU]","","EPD-PCE-20200300-IBB1-EN","","Foam glass board","Pittsburgh Corning Europe","FOAMGLAS T3+","R 4.0/inch","2026"
"Foam glass board / Pittsburgh Corning Europe / FOAMGLAS T4+ / R 3.5-inch / [EU]","","EPD-PCE-20200299-IBB1-EN","","Foam glass board","Pittsburgh Corning Europe","FOAMGLAS T4+","R 3.5/inch","2026"
"Glued Laminated Timber (Glulam) / AWC & CWC [Industry Avg | US & CA] ","","4788424634.104.1 ","","Glued Laminated Timber (Glulam)","American Wood Council & Canadian Wood Council","","","2025"
"Glued Laminated Timber (Glulam) / AWC & CWC / 3-1/2"" Panel [Industry Avg | US & CA]","","4788424634.104.1 ","","Glued Laminated Timber (Glulam)","American Wood Council & Canadian Wood Council","","","2025"
"Glued Laminated Timber (Glulam) / Structurlam / Glulam Plus  3-1/2"" Panel / BC","","EPD125 ","","Glued Laminated Timber (Glulam)","Structurlam","Glulam Plus","","2025"
"Glued Laminated Timber (Glulam) / Vaagen / Colville, WA","","EPD 168","Vaagen Timbers","Glued Laminated Timber (Glulam)","Vaagen Timbers","Glulam","","2026"
"Glued Laminated Timber (Glulam) / Kalesnikoff Lumber Co. / BC","","EPD296","Kalesnikoff Lumber Co.","Glued Laminated Timber (Glulam)","Kalesnikoff Lumber Co.","Glulam","BC","2027-03-16"
"Glued Laminated Timber (Glulam) / Western Archrib / Boissevain, Manitoba ","","EPD246","WA Enterprises Ltd","Glued Laminated Timber (Glulam)","Western Archrib","Glued Laminated Timber","Manitoba","2026-08-19"
"Glued Laminated Timber (Glulam) / Western Archrib / Edmonton, Alberta","","EPD247","WA Enterprises Ltd","Glued Laminated Timber (Glulam)","Western Archrib","Glued Laminated Timber","Alberta","2026-08-19"
"Glued Laminated Timber (Glulam) / Element5  / Ontario","","EPD 407","Element5","Glued Laminated Timber (Glulam)","Element5","Glued Laminated Timber","Ontario","2027"
"Gypsum concrete floor underlayment / USG / Levelrock 2500 Green / 30 mm","","EPD 142","","Gypsum concrete floor underlayment","USG","Levelrock 2500 Green","30 mm","2025-04-17"
"Gypsum panels - glass mat / 1/2"" / Gypsum Association [Industry Avg | N.America]","","EPD 206","","Gypsum panels - glass mat","Gypsum Association","North American Industry Average","1/2""","2026-05-01"
"Gypsum panels - glass mat / 5/8"" Type X / Gypsum Association [Industry Avg | N.America]","","EPD 206","","Gypsum panels - glass mat","Gypsum Association","North American Industry Average","5/8"" Type X","2026-05-01"
"Gypsum panels - glass mat / 1/2"" / USG / Securock ExoAir 430 / 1/2""","","4787352797.110.1 ","","Gypsum panels - glass mat","USG","Securock ExoAir 430","1/2""","2024"
"Gypsum panels - glass mat / 5/8"" / CertainTeed / GlasRoc Sheathing gypsum board / 5/8"" ","","4789532059.140.1","CertainTeed","Gypsum panels - glass mat","CertainTeed","GlasRoc Sheathing gypsum board","5/8"" ","2026-01-01"
"Gypsum panels - glass mat / 1/2"" / Georiga Pacific / DensGlass Sheathing / 1/2"" ","","EPD10358","Georgia-Pacific Gypsum LLC","Gypsum panels - glass mat","Georgia-Pacific Gypsum LLC","1/2"" DensGlass® Sheathing Gypsum Pane","1/2""","2025-05-21"
"Gypsum panels - glass mat / 5/8"" / Georiga Pacific / DensGlass Sheathing / 5/8"" ","","EPD10268","Georgia-Pacific Gypsum LLC","Gypsum panels - glass mat","Georgia-Pacific Gypsum LLC","5/8"" DensGlass® Fireguard® Sheathing Gypsum Panel","5/8""","2024-10-07"
"Green roof system / Knauf / Urbanscape Green Roof System / Extensive, min. 40 mm depth, Saturated weight 57.55 kg/m2 [EU]","","S-P-05961","Knauf","Green roof system","Knauf","Urbanscape Green Roof System","Extensive, min. 40 mm depth, Saturated weight 57.55 kg/m2","2027"
"Green roof system / Nature Impact / Nature Roof Standard 60/25 / Extensive, Saturated weight 1020 kg/m3 [EU]","","30.06.2021","Nature Impact A/S","Green roof system","Nature Impact","Nature Roof Standard 60/25","Extensive, Saturated weight 1020 kg/m3","2026"
"Green roof system / ZinCo / Heather with Lavender Green Roof System / Extensive, min. 100 mm depth, Saturated weight 163 kg/m2 [EU]","","EPD-ZIC-20200082-CCA1-EN","ZinCo GmbH","Green roof system","ZinCo","Heather with Lavender Green Roof System","Extensive, min. 100 mm depth","2025"
"Engineered Wood Flooring / CRAFT Artisan Wood Floors / Engineered / 5/8""","","EPD-234","","Engineered Wood Flooring","CRAFT Artisan Wood Floors","Engineered Wood Flooring","5/8"",  SFI Certified","07-2026"
"Engineered Wood Flooring / NWFA and Decorative Hardwoods Association / 3/8"" to 3/4""  [Industry Avg | US & CA]","","EPD 392","National Wood Flooring Association (NWFA)","Engineered Wood Flooring","NWFA and Decorative Hardwoods Association","Engineered Wood Flooring","3/8"" to 3/4""","2027-11-25"
"Engineered Wood flooring / Wickham / Engineered Hardwood / 16 mm","","6742-7944","Wickham Hardwood Flooring","Engineered Wood Flooring","Wickham","Engineered hardwood flooring","16 mm","2027"
"Hardwood flooring / mafi / Natural Hardwood Planks / 3/4"", 3 ply laminated solid, oil pre-finished [EU]","","4789456400.101.1","","Hardwood flooring","mafi","Natural Hardwood Planks","3/4"", 3 ply laminated solid, oil pre-finished","2025"
"Hardwood flooring / NWFA and Decorative Hardwoods Association / Solid Wood Flooring /  3/4""  [Industry Avg | US & CA]","","EPD 393","National Wood Flooring Association (NWFA)","Hardwood flooring","NWFA and Decorative Hardwoods Association","Solid Wood Flooring","3/4""","2027-11-25"
"Hardwood flooring / Wickham / Solid Hardwood / 3/4""","","6742-7944","Wickham Hardwood Flooring","Hardwood flooring","Wickham","Solid Hardwood","3/4""","2027"
"Helical pier / Generic / 3"" Nominal Pipe, 3.5 x 3/16"" (89 x 5.5 mm), 10"" Helix, Sched 40 Galvanized steel [Industry Avg]","","11345278.101.1","","Helical pier","Generic","","3"" Nominal Pipe, 3.5 x 3/16"" (89 x 5.5 mm), 10"" Helix, Sched 40 STD Galvanized steel","2021"
"Ground screw / American Ground Screw / AGS IM3316 / 76 x 1600 mm","","EPD 456","American Ground Screw","Ground screw","American Ground Screw","AGS Ground Screws IM3316","76 x 1600 mm","2028"
"Ground screw / American Ground Screw / AGS IM4516 / 114 x 1600 mm","","EPD 456","American Ground Screw","Ground screw","American Ground Screw","AGS Ground Screws IM4516","114 x 1600 mm","2028"
"Ground screw / Krinner / E-Series E89x1000-E60 / 89 x 1000 mm [EU]","","EPD-KRI-20230308-IBC1-EN","Krinner Ground Screws","Ground screw","Krinner","E-Series E89x1000-E60","89 x 1000 mm","2028"
"Ground screw / Krinner / E-Series E140x1600-E76-100 / 140 x 1600 mm [EU]","","EPD-KRI-20230308-IBC1-EN","Krinner Ground Screws","Ground screw","Krinner","E-Series E140x1600-E76-100","140 x 1600 mm","2028"
"Heat Treated Wood Cladding [BEAM Avg]","","","","Heat Treated Wood Cladding","Abodo, Russwood Ltd, Lunawood Thermowood","","20 mm",""
"Heat Treated Wood Cladding / Abodo / Vulcan - Thermally Modified Timber, Surfaced / 20 mm [NZ]","","S-P-01543","Abodo wood","Heat Treated Wood Cladding","Abodo","Vulcan - Thermally Modified Timber, Surfaced","20 mm","2025-08-12"
"Heat Treated Wood Cladding / Lunawood / Planed Thermowood D / 20 mm [EU]","","RTS 180 22","OY LUNAWOOD LTD","Heat Treated Wood Cladding","Lunawood Thermowood","Planed Thermowood D","20 mm","2028-12-05"
"Heat Treated Wood Cladding / Lunawood / Planed Thermowood S / 20 mm [EU]","","RTS 180 22","OY LUNAWOOD LTD","Heat Treated Wood Cladding","Lunawood Thermowood","Planed Thermowood S","20 mm","2028-12-05"
"Heat Treated Wood Cladding / Russwood / Accoya profiled cladding / 20 mm [EU]","","S-P-07182","Russwood Ltd","Heat Treated Wood Cladding","Russwood Ltd","Accoya®, Profiled Cladding","20mm","2027-11-27"
"HempWood / Fibonacci / Natural Laminate Flooring / 16 mm","","EPD 360","Fibonacci, LLC,","Hempwood","Fibonacci, LLC,","HempWood® Natural Flooring","16 mm","2027-08-31"
"Hemp Fiber Batt / R 3.6-inch [BEAM Avg] ","","EPD-197, S-P-01961, S-P-02290","","Hemp fiber batt","","","[Product Avg] / R 3.6/inch",""
"Hemp fiber batt / NaturFibre / Hemp Wool / R 3.7-inch","","EPD-197","","Hemp fiber batt","NaturFibre","Hemp Wool","R 3.7/inch","2026-03-01"
"Hemp fiber batt / Ekolution / Hemp fiber insulation / R 3.6-inch [EU]","","S-P-01961","Ekolution","Hemp fiber batt","Ekolution","Hemp fiber insulation","R 3.6/inch","2025"
"Hemp fiber batt / KOBE-cz / ECO HempFlex insulation / R 3.6-inch [EU]","","S-P-02290","KOBE-cz s.r.o.","Hemp fiber batt","KOBE-cz","ECO HempFlex"," R 3.6-inch","2025"
"Hempcrete / R 2.4-inch [BEAM Avg] ","","April, 2018, Arehart et al, 2020 LCA, SEN-01_22, SEN-01_22","","Hemp fiber batt","","","[Product Avg] / R 3.6/inch",""
"Hempcrete / Cast in-situ / IsoHemp / R 2.2-inch / [EU]","","April, 2018","","Hempcrete / Cast in-situ","IsoHemp","Europe","R 2.1/inch","2023"
"Hempcrete / Cast in-situ / Avg. mix using NHL & PHL / R 2.2-inch / USA","","Arehart et al, 2020 LCA","","Hempcrete / Cast in-situ","Site mixed","USA","R 2.1/inch, Avg. mix using NHL & PHL",""
"Hempcrete cast in place / Senini / Bio Beton Jet / R2.7-inch / 230 kg/m3 [EU]","","SEN-01_22","Senini","Hempcrete cast in place","Senini","Bio Beton Jet","R2.7/inch / 230 kg/m3","2027"
"Hempcrete dry fill / Senini / Bio Beton Pronto / R2.7-inch / 190 kg/m3 [EU]","","SEN-01_22","Senini","Hempcrete dry fill","Senini","Bio Beton Pronto","R2.7-inch / 190 kg/m3","2027"
"Hempcrete block / Senini / Blocco Ambiente / 20x50x30 / R2.1-inch / 330 kg/m3 [EU]","","SEN-01_22","Senini","Hempcrete block","Senini","Blocco Ambiente","20 x 50 x 30 cm","2027"
"Hempcrete block / Isohemp / Hemp Block PAL36EX  including mortar / 600 x 300 x 150-360 mm / R 2.0-inch [EU]","","EPD n° 21-0078-001.00.00","ISOHEMP","Hempcrete block","Isohemp","Hemp Block PAL36EX including mortar / 600 x 300 x 360 mm ","R 2/inch","2026-09-16"
"ICE PANEL - EPS FOAM CORE with STEEL STUDS, 7-1/2"", R-30","","","","","","","",""
"ICE PANEL - EPS FOAM CORE with STEEL STUDS, 9-1/4"", R-37","","","","","","","",""
"Rigid core vinyl flooring  / Resilient Floor Covering Institute [Industry Avg | US & CA]","","4788753451.103.1 ","Resilient Floor Covering Institute","Rigid core vinyl flooring","Resilient Floor Covering Institute","","2 - 12mm","2024"
"Luxury Vinyl Tile / Resilient Floor Covering Institute / LVT and SVT [Industry Avg | US & CA]","","4788753451.106.1 ","Resilient Floor Covering Institute","Luxury vinyl tile","Resilient Floor Covering Institute","","2 - 5mm","2024"
"Luxury vinyl tile (LVT) / Mohawk / Hot & Heavy Floating Tiles / 5.0 mm","","SCS-EPD-08570","Mohawk","Luxury vinyl tile (LVT)","Mohawk","Hot & Heavy Floating","5.0 mm","2028"
"Luxury vinyl tile (LVT) / Congoleum / CLEO / 4.1mm","","SCS-EPD-05530","Congoleum Corporation","LVT - Cleo flooring","Congoleum Corporation","CLEO Flooring","4.1mm","2023-05-21"
"Luxury vinyl tile (LVT)  / Parterre Flooring / Dryback LVT / Tile or plank - 5 mm","","EPD10156","Parterre Flooring","Luxury Vinyl Tile","Parterre Flooring","Dryback LVT","Tile or plank - 5mm","2024-06-02"
"Luxury vinyl tile (LVT) / Interface / All tile & plank models / 3.0 mm","","4787521006.133.1","Interface","Luxury vinyl tile (LVT)","Interface","All tile & plank models","3.0 mm","2025"
"Luxury vinyl tile (LVT) / Mannington / All tile & plank models / 4.0 mm","","EPD10668","Mannington Mills","Luxury vinyl tile (LVT)","Mannington","All tile & plank models","4.0 mm","2026"
"Luxury vinyl tile (LVT)  / Shaw - Patcraft / Luxury Vinyl Tile / 2 - 5 mm","","4790050503.103.1","Patcraft","Vinyl flooring","Shaw - Patcraft","Luxury Vinyl Tile","2 - 5 mm ","2026-01-10"
"Luxury vinyl tile (LVT) / Armstrong / Biome, Coalesce, Duo, Exchange, Parallel USA, Terra & Theorem / 2.5 mm","","EPD 207","Armstrong Flooring, Inc","2.5 mm Luxury Vinyl Tile ( LVT)","Armstrong Flooring, Inc","2.5 mm Luxury Vinyl Tile ( LVT) Biome™, Coalesce™, Duo™, Exchange™, Parallel® USA,
Terra™ & Theorem™","2.5mm","2026-05-18"
"Rigid core vinyl flooring / Parterre Flooring / Rigid Core Click / Tile or plank - 5 mm","","EPD10158","Parterre Flooring","Rigid core vinyl flooring","Parterre Flooring","Rigid Core Click","Tile or plank - 5mm","2024-06-02"
"Luxury vinyl tile (LVT) / Mannington / Luxury Vinyl Tile / 2.5 mm Tile and Plank","","EPD10668","Mannington","Vinyl flooring","Mannington","Luxury Vinyl Tile","2.5 mm Tile and Plank","2026-10-29"
"Luxury Vinyl Tile (LVT) / Fuhua / FloraFloor / Click & Loose lay / 4.0 mm","","4789992969.101.1","Jiangsu Fuhua","Luxury Vinyl Tile","Jiangsu Fuhua","FloraFloor","4.0 mm","2027"
"Luxury vinyl tile (LVT) / Altro / Altro Lavencia / 3.0 mm","","SCS-EPD-07131","Altro","Luxury Vinyl Tile","Altro","Altro Lavencia","3.0 mm","2026-06-08"
"Vinyl flooring / Resilient Floor Covering Institute / Heterogeneous [Industry Avg | US & CA]","","4788753451.101.1 ","Resilient Floor Covering Institute","Vinyl flooring","Resilient Floor Covering Institute","Heterogeneous","1.1 - 5.5mm","2024"
"Laminated strand lumber (LSL) / AWC & CWC [Industry Avg | US & CA]","","4789710952.101.1","","Laminated strand lumber","American Wood Council & Canadian Wood Council","","","2026-01-04"
"Laminated veneer lumber (LVL) / AWC & CWC [Industry Avg | US & CA]","","4788424634.105.1 ","","Laminated veneer lumber","American Wood Council & Canadian Wood Council","","","2025"
