"Display Name ACQ wood treatment Synthetic Stucco (Acrylic) [BEAM Avg | US & CA]","EPD Number / Document ID ","EPD ID Bolin & Smith, 2011, LCA Assessment of ACQ-treated lumber, Journal of Cleaner Production ","EPD Owner ","Material ACQ wood treatment Acrylic Stucco Textured Finish","Manufacturer / Organization Sto Corp.","Product Name / Description ","Specifications ","EPD Expiry "
"Ext. Wall barrier, liquid applied / GCP / Perm-a-Barrier NPL 10 (fire-resistant) / Non-permeable, 1 mm","","EPD10786","GCP","Liquid applied barrier","GCP","Perm-a-Barrier NPL 10","1 mm","2027-09-26"
"Ext. Wall barrier, liquid applied / GCP / Perm-a-Barrier VPL / 20 Perms, 0.64 mm","","EPD10786","GCP","Liquid applied barrier","GCP","Perm-a-Barrier VPL ","0.64 mm","2027-09-26"
"Ext. Wall barrier, liquid applied / GCP / Perm-a-Barrier VPL 50RS UV stable / 13 Perms, 0.51 mm","","EPD10786","GCP","Liquid applied barrier","GCP","Perm-a-Barrier VPL 50 RS","0.51 mm","2027-09-26"
"Ext. Wall barrier, sheet / GCP / Perm-a-Barrier NPS / Non-permeable, 0.46 mm","","EPD10786","GCP","Sheet barrier","GCP","Perm-a-Barrier NPS","1 mm","2027-09-26"
"Ext. Wall Barrier, liquid applied / Soprema / SOPRASEAL LM 200 S / 0.6 Perm","","EPD 508","Soprema Inc.","Liquid applied barrier","Soprema","Sopraseal LM 200 S","","2028"
"Ext. Wall Barrier, liquid applied / Soprema / SOPRASEAL LM 204 VP / 10-17 Perms / 0.6 mm","","EPD 552","Soprema Inc.","Adhesive barrier","Soprema","Sopraseal Stick VP","","2028"
"Ext. Wall Barrier, sheet / Building Product Design / Glidevale Protect TF200 / Permeable","","HUB-0233","Building Product Design","Sheet barrier","Building Product Design","Glidevale Protect TF200","","2027"
"Ext. Waterproofing Barrier, adhesive / Carlisle / MiraPLY V  ","","EPD10572","Carlisle Coatings & Waterproofing","Adhesive","Carlisle","MirPLY V","","2026"
"Ext. Waterproofing Barrier, liquid applied / Carlisle / MiraSEAL & MiraTITE  ","","EPD10568","Carlisle Coatings & Waterproofing","Liquid applied waterproofing","Carlisle","MiraSEAL & MiraTITE","","2026"
"Int. Wall barrier, sheet / Isover / Vario KM Duplex / Moisture-variable / EU","","S-P-01140","Saint-Gobain ISOVER","Sheet barrier","Isover","Vario KM Duplex","0.2 mm","2028"
"Int. Wall barrier, sheet / Isover / Vario XTRA / Moisture-variable / EU","","S-P-01141","Saint-Gobain ISOVER","Sheet barrier","Isover","Vario XTRA","0.2 mm","2028"
"Int. Wall & Ceiling Barrier, sheet / Partel / IZOPERM PLUS / Non-permeable / EU","","EPDIE-22-83","Partel","Sheet barrier","Partel","VARA PLUS","","2027"
"Int. Wall & Ceiling Barrier, sheet / Partel / VARA PLUS / Moisture-variable / EU","","EPDIE-22-83","Partel","Sheet barrier","Partel","VARA PLUS","","2027"
"Int. Wall & Ceiling Barrier, sheet / Rothoblaas / Clima Control 80 / Moisture-variable / 0.22 mm / EU","","2021M20141","Rotho Blaas SRL","Sheet barrier","Rothoblaas","Clima Control 80","","2026"
"Int. Wall & Ceiling Barrier, sheet / Rothoblaas / Vapor In NET 140 / Non-permeable / 0.15 mm / EU","","2021M20141","Rotho Blaas SRL","Sheet barrier","Rothoblaas","Vapor in NET 140","","2026"
"Int. Wall & Ceiling Barrier, sheet / SIGA / Majrex 200 / Moisture-variable / EU","","EPD-SIG-20220185-CBA1-EN","SIGA Cover AG","Sheet barrier","SIGA","Majrex 200","","2027"
"Int. Wall & Ceiling Barrier, sheet / Synwer / Syn U 120 Sd 2 / Moisture-variable / EU","","EPD-Synwer-234-EN","Synwer GmbH","Sheet barrier","Synwer","Syn U 120 Sd 2","","2027"
"Barrier, sheet / Polyethylene sheet / 10 mil","","From ICE Database V3","","Barrier, sheet","","Polyethylene sheet","10 mil",""
"Barrier, sheet / Polyethylene sheet / 6 mil","","From ICE Database V3","","Barrier, sheet","","Polyethylene sheet","6 mil",""
"Asphalt Shingles / GAF / Timberline / Timberline","","EPD10397 ","","Asphalt Shingles","GAF","Timberline","Timberline","2025"
"Asphalt Shingles / Asphalt Roofing Manufacturers Association / Fiberglass Asphalt Shingles [Industry Avg | US & CA]","","4789862118.111.1","Asphalt Roofing Manufacturers Association","Asphalt Shingles","Includes: Atlas, CertainTeed, GAF, IKO, Pabco, Tamko","Fiberglass Asphalt Shingles","","2028"
"Asphalt Shingles / Owens Corning / Duration / ","","4789400789.101.1 ","","Asphalt Shingles","Owens Corning","Duration","","2025"
"Asphalt Shingles / Owens Corning / Oakridge / ","","4789400789.101.1","","Asphalt Shingles","Owens Corning","Oakridge","","2025"
"Asphalt Shingles / Owens Corning / Supreme / ","","4789400789.101.1","","Asphalt Shingles","Owens Corning","Supreme","","2025"
"Asphalt Shingles / GAF / Timberline Cool Series /","","EPD10396","GAF","Asphalt Shingles","GAF","Timberline Cool Series","","2025-07-29"
