"","","","","ID for →","Materials options by VOLUME – m³","ID for →","Material options by SURFACE AREA – m²","ID for →","Material options by Length - m","ID for →","Material options by R-VALUE & AREA - m²•RSI","","Province/State","Country","USER INPUT Building Type","Construction Type","Construction Stage","Purpose of Evaluation","List of countries","Province for Country Selected","","Sheet Name","Text Color","BG Color","Full Sheet Name"
"","","","","aaacc3","Concrete – 25 MPa, 20% SL, GU / ABQ [Industry Avg | CA]","bbb031","Int. Wall & Ceiling Barrier, sheet / SIGA / Majrex 200 / Moisture-variable / EU","STR018","Structural Steel / Wide Flange / W250x25 (US W10x17) / AISC [Industry Avg | US]","2fe063","Hemp fiber batt / NaturFibre / Hemp Wool / R 3.7-inch","","New Mexico","United States","","","","","Djibouti","Utah","","","","",""
"","","","","aaacc4","Concrete – 25 MPa, 20% FA, GU / ABQ [Industry Avg | CA]","bbb032","Int. Wall & Ceiling Barrier, sheet / Synwer / Syn U 120 Sd 2 / Moisture-variable / EU","STR019","Structural Steel / Wide Flange / W250x28 (US W10x19) / AISC [Industry Avg | US]","INS011","Hemp fiber batt / Ekolution / Hemp fiber insulation / R 3.6-inch [EU]","","New York","United States","","","","","Dominica","Vermont","","","","",""
"","","","","aaacc5","Concrete – 25 MPa, 30% SL, GU / ABQ [Industry Avg | CA]","bbb033","Barrier, sheet / Polyethylene sheet / 10 mil","STR020","Structural Steel / Wide Flange / W250x33 (US W10x22) / AISC [Industry Avg | US]","INS012","Hemp fiber batt / KOBE-cz / ECO HempFlex insulation / R 3.6-inch [EU]","","North Carolina","United States","","","","","Dominican Republic","Virginia","","","","",""
"","","","","aaacc6","Concrete – 25 MPa, 30% FA, GU / ABQ [Industry Avg | CA]","bbb034","Barrier, sheet / Polyethylene sheet / 6 mil","STR021","Structural Steel / Wide Flange / W250x39 (US W10x26) / AISC [Industry Avg | US]","HEMPCX","Hempcrete / R 2.4-inch [BEAM Avg] ","","North Dakota","United States","","","","","Ecuador","Washington","","","","",""
"","","","","A12345","Concrete – 25 MPa, 30% FA, GUL / ABQ [Industry Avg | CA]","2b19ae","Asphalt Shingles / GAF / Timberline / Timberline","STR022","Structural Steel / Wide Flange / W250x45 (US W10x30) / AISC [Industry Avg | US]","7d79df","Hempcrete / Cast in-situ / IsoHemp / R 2.2-inch / [EU]","","Ohio","United States","","","","","Egypt","West Virginia","","","","",""
"","","","","aaacc7","Concrete – 30 MPa, Quebec Baseline Average / ABQ [Industry Avg | CA]","RRR110","Asphalt Shingles / Asphalt Roofing Manufacturers Association / Fiberglass Asphalt Shingles [Industry Avg | US & CA]","STR023","Structural Steel / Wide Flange / W250x50 (US W10x33) / AISC [Industry Avg | US]","5731ae","Hempcrete / Cast in-situ / Avg. mix using NHL & PHL / R 2.2-inch / USA","","Oklahoma","United States","","","","","El Salvador","Wisconsin","","","","",""
"","","","","aaacc8","Concrete – 30 MPa, 10% SL, GU / ABQ [Industry Avg | CA]","G60979","Asphalt Shingles / Owens Corning / Duration / ","STR024","Structural Steel / Wide Flange / W250x58 (US W10x38) / AISC [Industry Avg | US]","INS013","Hempcrete cast in place / Senini / Bio Beton Jet / R2.7-inch / 230 kg/m3 [EU]","","Oregon","United States","","","","","Eritrea","Wyoming","","","","",""
"","","","","aaacc9","Concrete – 30 MPa, 10% FA, GU / ABQ [Industry Avg | CA]","e7ab5a","Asphalt Shingles / Owens Corning / Oakridge / ","STR025","Structural Steel / Wide Flange / W250x67 (US W10x45) / AISC [Industry Avg | US]","INS014","Hempcrete dry fill / Senini / Bio Beton Pronto / R2.7-inch / 190 kg/m3 [EU]","","Pennsylvania","United States","","","","","Estonia","","","","","",""
"","","","","aaacc10","Concrete – 30 MPa, 20% SL, GU / ABQ [Industry Avg | CA]","61aa40","Asphalt Shingles / Owens Corning / Supreme / ","STR026","Structural Steel / Wide Flange / W250x73 (US W10x49) / AISC [Industry Avg | US]","INS015","Hempcrete block / Senini / Blocco Ambiente / 20x50x30 / R2.1-inch / 330 kg/m3 [EU]","","Rhode Island","United States","","","","","Ethiopia","","","","","",""
"","","","","aaacc11","Concrete – 30 MPa, 20% FA, GU / ABQ [Industry Avg | CA]","RRR111","Asphalt Shingles / GAF / Timberline Cool Series /","STR027","Structural Steel / Wide Flange / W250x80 (US W10x54) / AISC [Industry Avg | US]","INS016","Hempcrete block / Isohemp / Hemp Block PAL36EX  including mortar / 600 x 300 x 150-360 mm / R 2.0-inch [EU]","","South Carolina","United States","","","","","Fiji","","","","","",""
