beam_id,epd_id,ID,Display Name,Stated kgCO2e/unit,GWP units per,GWP/common unit,Common unit,GWP-bio from EPD,Biogenic Storage,Carbon content kgC/unit,Full C value,Storage % Reduction,Density,Density Units,Addnl factor,Addnl factor units,EPD ID,EPD Type,EPD Program/Operator,Service Life (yr)
www121,EPD-QKE-20220156-IBG1-DE,www121,"Window, triple-glazed, PVC-U frame, tilt & turn / [Industry Avg | EU]",95.2,m2,95.2,m2,,,,,,,,,,EPD-QKE-20220156-IBG1-DE,industry_average,IBU,30
bbb031,EPD-SIG-20220185-CBA1-EN,bbb031,"Int. Wall & Ceiling Barrier, sheet / SIGA / Majrex 200 / Moisture-variable / EU",1.2,m²,1.21,m2,,,,,,0.15,kg/m2,,,EPD-SIG-20220185-CBA1-EN,product_specific,IBU,
ins026,EPD-STE-20150327-IBD1-EN,ins026,"Wood fiber board / Steico / STEICOprotect S dry, STEICOsafe 40, STEICOuniversal dry / R 3.6-inch, 210 kg/m3 [EU]",-81.57,m3,11.4,m2•RSI,,13.2,2.66,14.67,0.9,210,kg/m3,8.412903333,kg/m2•RSI,EPD-STE-20150327-IBD1-EN,product_specific,,
ins027,EPD-STE-20150327-IBD1-EN,ins027,"Wood fiber board / Steico / STEICOprotect M dry, STEICOroof dry, STEICOspecial dry, STEICOtop / R 3.6-inch, 140 kg/m3 [EU]",-81.57,m3,6.51,m2•RSI,,8.8,2.66,9.78,0.9,140,kg/m3,5.608602222,kg/m2•RSI,EPD-STE-20150327-IBD1-EN,product_specific,,
ins028,EPD-STE-20150327-IBD1-EN,ins028,"Wood fiber board / Steico / STEICOtherm dry, STEICOprotect L dry, STEICOsafe / R 3.6-inch, 110 kg/m3 [EU]",-81.57,m3,4.41,m2•RSI,,6.91,2.66,7.68,0.9,110,kg/m3,4.406758889,kg/m2•RSI,EPD-STE-20150327-IBD1-EN,product_specific,,
ins034,EPD-STE-20150327-IBD1-EN,ins034,Wood fiber batt / Steico / SteicoFlex / R 3.8-inch [EU],-28.27,m3,2,m2•RSI,,3.07,0.84645,3.1,0.9,55,kg/m3,2.087412105,kg/m2•RSI,EPD-STE-20150327-IBD1-EN,product_specific,,
bbb032,EPD-Synwer-234-EN,bbb032,"Int. Wall & Ceiling Barrier, sheet / Synwer / Syn U 120 Sd 2 / Moisture-variable / EU",0.6,m²,0.58,m²,,,,,,120,g/m2,,,EPD-Synwer-234-EN,product_specific,Kiwa-Ecobility Experts,
GRE002,EPD-ZIC-20200082-CCA1-EN,GRE002,"Green roof system / ZinCo / Heather with Lavender Green Roof System / Extensive, min. 100 mm depth, Saturated weight 163 kg/m2 [EU]",2.64,m2,2.64,m2,,,,,,163,kg/m2 saturated,103,kg/m2 dry,EPD-ZIC-20200082-CCA1-EN,product_specific,IBU,
5161f8,"Fernandes et al LCA, 2019",5161f8,"Compressed earth block wall / Factory made / Stabilized with 6.5% NHL / 150 mm (5-7/8"") width [EU]",0.388,block,1.85,m2 at 150mm block,,,,,,1900,kg/m3,4.761904762,blocks/m2,"Fernandes et al LCA, 2019",,,
f62c9s,"Fernandes et al LCA, 2019",f62c9s,"Compressed earth block floor / Factory made / Stabilized with 6.5% NHL / 2-3/4"" (70 mm) [EU]",0.388,block,8.62,"m2 at 2.75"" thickness",,,,,,1900,kg/m3,22.22222222,blocks/m2,"Fernandes et al LCA, 2019",,,
c09ed4,"Fernandes et al LCA, 2020",c09ed4,Rammed earth / Stabilized with 3% NHL / no rebar [EU],47.5,m3,1.21,"m2 at 1""",,,,,,1900,kg/m3,0.0254,"m/1""","Fernandes et al LCA, 2020",,,
bbb033,From ICE Database V3,bbb033,"Barrier, sheet / Polyethylene sheet / 10 mil",0.6,m2,0.61,m2,,,,,,0.233,kg/m2,,,From ICE Database V3,,,
bbb034,From ICE Database V3,bbb034,"Barrier, sheet / Polyethylene sheet / 6 mil",0.4,m2,0.38,m2,,,,,,0.147,kg/m2,,,From ICE Database V3,,,
A23457,GlobalEPD EN15804-036,A23457,Composite sheathing panel / Honext / Fire resistant panel / 12 mm [EU],92.5,m3,1.11,m2,751,8.11,,,0.9,,kg/m3,,,GlobalEPD EN15804-036,product_specific,Aenor Confia,25
285b88,GlobalEPD-RCP-008-001,285b88,Clay roof tiles / HISPALYT / [Industry Avg | Spain],4,m²,3.55,m²,,,,,,56,kg/m2,,,GlobalEPD-RCP-008-001,industry_average,AENOR Internacional S.A.U.,150
bbb022,HUB-0233,bbb022,"Ext. Wall Barrier, sheet / Building Product Design / Glidevale Protect TF200 / Permeable",0.4,m²,0.35,m²,,,,,,0.1,kg/m2,,,HUB-0233,product_specific,EPD Hub Ltd,
SIP007,HUB-0634,SIP007,"SIP roof panels / Nexii Roof Panels / 16"" panel / R56",98.8,m2,98.8,m2,,,,,,94.7,kg/m2,,,HUB-0634,product_specific,EPD Hub,60
SIP005,HUB-0635,SIP005,"SIP wall panel / Nexii Cladding Panels / 10"" panel / R34",116,m2,116,m2,,,,,,102.3,kg/m2,,,HUB-0635,product_specific,EPD Hub,60
SIP006,HUB-0636,SIP006,"SIP wall panel / Nexii Load-bearing Panels / 10"" panel / R34",128,m2,128,m2,,,,,,127.3,kg/m2,,,HUB-0636,product_specific,EPD Hub,50
840925,HW-20200605-001,840925,Wool Loose-fill / Havelock Wool / Loose-fill / R 4.4-inch,1.76,m2•RSI,1.76,m2•RSI,,0.99,0.2951513153,,0.9,18.1,kg/m3,0.607,kg/m2 at RSI1,HW-20200605-001,product_specific,Sustainable Minds,
be49e2,HW-20200605-001,be49e2,Wool batt / Havelock Wool / Batts / R 3.6-inch,2.63,m2•RSI,2.63,m2•RSI,,1.63,0.46251738,,0.9,24.98,kg/m3,0.997,kg/m2 at RSI1,HW-20200605-001,product_specific,Sustainable Minds,
5231c8,ICC – 20200122– 001,5231c8,"Cellulose / spray applied / International Cellulose Corp. / K-13, ThermoCon / R 3.75-inch",0.325,m2•RSI,0.33,m2•RSI,,2.43,,,0.9,54.5,kg/m3,2.071,kg/m2 at RSI1,ICC – 20200122– 001,industry_average,,
5fe983,"ICE V3.0, 2019",5fe983,Rammed earth / Stabilized with 5% cement / no rebar [EU],0.061,kg,2.94,"m2 at 1""",,,,,,1900,kg/m3,48.26,"kg/m2-1""","ICE V3.0, 2019",,,
e5a3bb,"ICE V3.0, 2019",e5a3bb,Polypropylene ICF webbing /,1.93,kg,5.12,m2 of ICF block,,,,,,1030,kg/m3,2.653884965,kg/m2 at 1.315 kg webbing per 0.4955 m2 block,"ICE V3.0, 2019",,,
bd05f4,"ICE V3.0, 2020",bd05f4,Rammed earth / Stabilized with 8% cement / no rebar [EU],0.084,kg,4.05,"m2 at 1""",,,,,,1900,kg/m3,48.26,"kg/m2-1""","ICE V3.0, 2020",,,
6877c8,LCA,6877c8,"Wood chip cement ICF / Nexcem, Faswall / 12"" R22 block",93,m3,76.13,m²,,58.86,,,,550,kg/m3,0.1856783367,m3/m2,LCA,product_specific,,
cac908,LCA,cac908,"Wood chip cement ICF / Nexcem, Faswall / 14"" R28 block",93,m3,84.14,m²,,65.06,,,,550,kg/m3,0.2052234248,m3/m2,LCA,product_specific,,
BRI007,LCA888510/R20170487,BRI007,"Brick, Waste-based / StoneCycling / Caramel / 215x102x65 mm, incl. 3/8"" mortar / EU",176,ton,31.48,m2,,,,,,1800,kg/m3,269,kgCO2/m3 mortar,LCA888510/R20170487,product_specific,SGS Intron BV,
BRI000,MD-21011-EN,BRI000,"Brick, Clay / Matzen Tegl / Avg Face Brick, produce with Biogas  / 2-1/2"" x 5/8"" x 7-1/2"" (64 x 16 x 190 mm) incl. 3/8"" mortar [EU]",0.081,kg,15.34,m2,,,,,,1800,kg/m3,269,kgCO2/m3 mortar,MD-21011-EN,product_specific,Danish Technological Institute / EPD Danmark,150
sl3g0r,MD-21034-EN,sl3g0r,"Eelgrass accoustic board / Søuld ApS / Søuld Acoustic Mats / Flame retardant, NRC 0.90 [EU]",0.566,kg,2.72,m²,,4.08,,,0.9,133,kg/m3,,,MD-21034-EN,product_specific,,
WWC000,MD-22122-EN,WWC000,Wood cladding / BurntWood / ReUse with linseed oil treatment / 18 mm [EU],5.8,m2,5.83,m2,37.4,2.45,,,0.9,400,kg/m3,,,MD-22122-EN,product_specific,Danish Technological Institute,
WWC001,MD-22122-EN,WWC001,Wood cladding / BurntWood / ReUse without surface treatment / 18 mm [EU],2.4,m2,2.39,m2,33.3,,,,0.9,400,kg/m3,,,MD-22122-EN,product_specific,Danish Technological Institute,
2ecd60,"Melia et al LCA, 2014",2ecd60,"Clay Plaster, site mixed / 15 mm (9/16"") [EU]",0.88,m2 at 15mm,0.88,m2 at 15mm,,,,,,,,,,"Melia et al LCA, 2014",,,
103ade,NEPD-1243-396-EN,103ade,"Foam glass aggregate / Glasopor AS / R 1.7-inch, 10-60 mm [EU]",6.96,m3,0.62,m2•RSI,,,,,,180,kg/m3,,,NEPD-1243-396-EN,product_specific,,
LEC001,NEPD-1742-715-EN,LEC001,"Light expanded clay aggregate (LECA) / Leca Int'l / Leca ISO 10-20 / R 1.35-inch, 10-20 mm [EU]",61.5,m3,6.56,m2•RSI,,,,,,245,kg/m3,,,NEPD-1742-715-EN,product_specific,Norwegian EPD Foundation,
LEC002,NEPD-2304-1052-EN,LEC002,"Light expanded clay aggregate (LECA) / Leca Int'l / Leca-sora 4-32 / R 1.2-inch, 4-32 mm [EU]",92.9,m3,11.15,m2•RSI,,,,,,275,kg/m3,,,NEPD-2304-1052-EN,product_specific,Norwegian EPD Foundation,
