beam_id,epd_id_raw,ID,Display Name,Listed,Do Not List,Industry Avg,BEAM Avg,EPD Expiry,Footnote,Material,Manufacturer,Product Brand Name,Specifications,Notes,Countries of Manufacture,Markets of Applicability,Data added or modified,Stated EPD kgCO2e / unit,GWP units kgCO2e per,GWP kgCO2e/(common unit),Common Unit: kgCO2e / _,Metric Units,Imperial Units,GWP-bio from EPD,Biogenic carbon factor,% Carbon content (kgC/kg),Biogenic Storage,(common-unit repeat),WWF Storage Factor,Carbon content kgC/unit,(units kgC repeat),Biogenic CO2 full C value,Storage % Reduction,Density,Density Units,Addn'l factors,Addn'l factor units,R-value / inch,"k, Thermal Conductivity",Moisture content %,Mass (kg),Length (m),Width (m),Depth (m),Unit Volume (m3),Units/m2,Material Type,Material Subtype,Product Type,Product Subtype,(classification code — excluded §9),EPD ID,EPD Type,EPD Owner,EPD/LCA Prepared by,EPD Program / Operator,Internal/External Validation,EPD Verifying Agent,EPD Standards,EPD PCR Guidelines,LCA Method,EPD LCA Software,EPD LCI Database,Product Service Life (Years),Source document URL
INS004,SmartEPD-2023-003-0012-01,,,,,,,2028,,Fiberglass board,NAIMA,"Johns Manville, Knauf, Owens Corning, CertainTeed",57.62 kg/m3,,US,US & CA,,5.0,m2•RSI,,,,,,,,,,,,,,,57.6,kg/m3,,,3.20,,,,,,,,,Fiberglass,,,,,SmartEPD-2023-003-0012-01,Industry average,NAIMA,TrueNorth Collective,Smart EPD,External,"Lindita Bushi, Athena Sustainable Materials Institute",ISO 21930:2020,UL Part B: Building Envelope Thermal Insulation Products v6,TRACI 2.1,SimaPro 9.8,Ecoinvent 3.9.4,75,
INS020,SmartEPD-2023-008-0021-01,,,,,,,2028,,Mineral wool loose fill,NAIMA,"USG, American Rockwool",R 3/inch,,US,US & CA,,1.9,m2•RSI,,,,,,,,,,,,,,,32.1,kg/m3,,,3.00,0.04807373333,,,,,,,,Mineral wool,,,,,SmartEPD-2023-008-0021-01,Industry average,NAIMA,TrueNorth Collective,Smart EPD,External,"Lindita Bushi, Athena Sustainable Materials Institute",ISO 21930:2019,UL Part B: Building Envelope Thermal Insulation Products v5,TRACI 2.1,SimaPro 9.7,Ecoinvent 3.9.3,75,
INS019,SmartEPD-2023-008-0022-01,,,,,,,2028,,Mineral wool board - light density,NAIMA,"Owens Corning, Johns Manville, Rolan",R 3.9/inch,,US,US & CA,,2.7,m2•RSI,,,,,,,,,,,,,,,38.3,kg/m3,,,3.90,0.03697979487,,,,,,,,Mineral wool,,,,,SmartEPD-2023-008-0022-01,Industry average,NAIMA,TrueNorth Collective,Smart EPD,External,"Lindita Bushi, Athena Sustainable Materials Institute",ISO 21930:2018,UL Part B: Building Envelope Thermal Insulation Products v4,TRACI 2.1,SimaPro 9.6,Ecoinvent 3.9.2,75,
INS018,SmartEPD-2023-008-0023-01,,,,,,,2028,,Mineral wool board - heavy density,NAIMA,"Owens Corning, Johns Manville, Rolan",R 4.4/inch,,US,US & CA,,6.8,m2•RSI,,,,,,,,,,,,,,,99.9,kg/m3,,,4.40,0.03277754545,,,,,,,,Mineral wool,,,,,SmartEPD-2023-008-0023-01,Industry average,NAIMA,TrueNorth Collective,Smart EPD,External,"Lindita Bushi, Athena Sustainable Materials Institute",ISO 21930:2017,UL Part B: Building Envelope Thermal Insulation Products v3,TRACI 2.1,SimaPro 9.5,Ecoinvent 3.9.1,75,
BAM002,SmartEPD-2023-009-0024-01,,,,,,,2028,,Bamboo plywood,Smith & Fong,Plyboo,"1/2"" (12.7 mm)",,China,US & CA,,250,m3,,,,,,,,,,,,,,,690,kg/m3,8.76,"kg/m2 at 1/2""",,,,,,,0.0127,,,Bamboo,,,,,SmartEPD-2023-009-0024-01,Product-specific,Smith & Fong,Maria Amaya,Smart EPD,External,Nicole Kennard,ISO 21930:2017,UL PCR for Building-Related Products and Services v4,,openLCA v1.11,Ecoinvent 3.9.1,,
BAM003,SmartEPD-2023-009-0024-01,,,,,,,2028,,Bamboo plywood,Smith & Fong,Plyboo,"3/4"" (19 mm)",,China,US & CA,,250,m3,,,,,,,,,,,,,,,690,kg/m3,13.11,"kg/m2 at 3/4""",,,,,,,0.019,,,Bamboo,,,,,SmartEPD-2023-009-0024-01,Product-specific,Smith & Fong,Maria Amaya,Smart EPD,External,Nicole Kennard,ISO 21930:2017,UL PCR for Building-Related Products and Services v4,,openLCA v1.11,Ecoinvent 3.9.1,,
199253,S-P-00725,,,,,,,2020,,Aerogel blanket,Aspen Aerogels,,"R9.6/inch, White/Grey blanket",,,US,,12.3,1m2 @ 10 mm,,,,,,,,,,,,,,,150,kg/m3,,,9.614746667,0.0150000,,,,,,,,Aerogel,,,,,S-P-00725,Product-specific,,Renuables,,,,,,,,,,
21cbc7,S-P-01088,,,,,,,2022,,Foam glass aggregate,Hasopor,,"R 1.7/inch, 10-60 mm",,,EU,,7.77,m3,,,,,,,,,,,,,,,180,kg/m3,,,1.802765,0.0800000,,,,,,,,Foam glass,,,,,S-P-01088,Product-specific,,EPD International AB,,,,,,,,,,
bbb025,S-P-01140,,,,,,,2028,,Sheet barrier,Isover,Vario KM Duplex,0.2 mm,,EU,EU,,0.621,m²,,,,,,,,,,,,,,,80,g/m2,,,,,,,,,,,,Barrier,,,,,S-P-01140,Product-specific,Saint-Gobain ISOVER,Saint-Gobain LCA,International EPD System,External,"Marcel Gomez, Consultoria Ambiental",EN 15804:2012 + A2:2019,PCR 2019:14 Construction products 1.2.5,,GaBi 10,GaBi 2022.1 & Ecoinvent v3.6,,
bbb026,S-P-01141,,,,,,,2028,,Sheet barrier,Isover,Vario XTRA,0.2 mm,,EU,EU,,0.543,m²,,,,,,,,,,,,,,,80,g/m2,,,,,,,,,,,,Barrier,,,,,S-P-01141,Product-specific,Saint-Gobain ISOVER,Saint-Gobain LCA,International EPD System,External,"Marcel Gomez, Consultoria Ambiental",EN 15804:2012 + A2:2019,PCR 2019:14 Construction products 1.2.5,,GaBi 10,GaBi 2022.1 & Ecoinvent v3.6,,
